timestamp,response_time,success,problem_type,total_requests,solved_problems,accuracy,avg_response_time
2025-10-03 21:54:41,12.88,True,Other,1,1,100.0,12.88
2025-10-03 21:55:50,21.37,True,Other,2,2,100.0,17.13
2025-10-03 22:32:35,17.63,True,Other,1,1,100.0,17.63
2025-10-03 22:33:28,15.88,True,Other,2,2,100.0,16.75
2025-10-03 22:35:41,23.49,True,Other,3,3,100.0,19.0
2025-10-03 22:37:23,14.55,True,Other,4,4,100.0,17.89
2025-10-03 22:38:18,19.81,True,Other,5,5,100.0,18.27
2025-10-03 23:00:05,16.29,True,Other,1,1,100.0,16.29
2025-10-03 23:01:08,17.13,True,Other,2,2,100.0,16.71
2025-10-03 23:17:39,20.36,True,Other,1,1,100.0,20.36
2025-10-03 23:18:48,18.06,True,Other,2,2,100.0,19.21
2025-10-03 23:20:35,19.4,True,Other,1,1,100.0,19.4
2025-10-03 23:22:10,18.18,True,Other,2,2,100.0,18.79
2025-10-04 13:37:51,80.13,True,Other,1,1,100.0,80.13
2025-10-04 14:28:38,26.06,True,Other,1,1,100.0,26.06
2025-10-05 00:40:15,24.94,True,Other,1,1,100.0,24.94
2025-10-05 00:41:46,20.09,True,Other,1,1,100.0,20.09
2025-10-05 01:01:08,14.17,True,Other,1,1,100.0,14.17
2025-10-05 01:01:36,10.72,True,Other,2,2,100.0,12.44
2025-10-05 01:25:43,26.01,True,Other,1,1,100.0,26.01
2025-10-05 01:28:07,20.59,True,Other,2,2,100.0,23.3
2025-10-05 01:29:02,18.24,True,Other,3,3,100.0,21.61
2025-10-05 01:41:22,16.4,True,Other,1,1,100.0,16.4
2025-10-05 01:43:30,14.68,True,Other,1,1,100.0,14.68
2025-10-05 01:44:23,22.27,True,Other,2,2,100.0,18.47
2025-10-05 01:45:23,19.04,True,Other,3,3,100.0,18.66
